Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
Bend it Like Beckham,5600000,74566042,2002,179.9,1h 52m,PG-13,6.7,112K,Comedy
WarGames,12000000,74433837,1983,99.6,1h 54m,PG,7.1,102K,Action
Next,70000000,73591500,2007,207.3,,PG,8.7,122K,Action
"Dude, Where's My Car?",13000000,73180297,2000,172.2,1h 23m,PG-13,5.5,141K,Comedy
Death Race,65000000,72516819,2008,215.3,1h 20m,R,6.2,28K,Action
Shallow Hal,40000000,70836296,2001,177.1,1h 54m,PG-13,6,136K,Comedy
Ronin,55000000,70692101,1998,163,2h 2m,R,7.2,186K,Action
Takers,32000000,70587268,2010,218.1,1h 47m,PG-13,6.2,63K,Action
The Hills Have Eyes,17000000,70355813,2006,201.6,1h 47m,R,6.4,173K,Horror
A Cinderella Story,19000000,70112484,2004,188.9,1h 35m,PG,5.9,89K,Comedy
What Men Want,20000000,69911903,2019,255.7,1h 57m,R,5.3,28K,Comedy
Children of Men,76000000,69845011,2006,201.6,1h 49m,R,7.9,503K,Action
Tae Guik Gi: The Brotherhood of War,12500000,69826708,2004,188.9,2h 20m,R,8,40K,Action
The Brave One,70000000,69792704,2007,207.3,2h 2m,R,6.7,62K,Action
The Adventures of Sharkboy and Lavagirl in 3-D,50000000,69425966,2005,195.3,1h 33m,PG,3.7,39K,Action
Bad Company,70000000,69157016,2002,179.9,1h 56m,PG-13,5.6,48K,Action
Letters from Iwo Jima,13000000,67867998,2006,201.6,2h 21m,R,7.9,164K,Action
Austin Powers: International Man of Mystery,18000000,67683989,1997,160.5,1h 29m,PG-13,7,243K,Adventure
When a Stranger Calls,15000000,67215435,2006,201.6,1h 37m,R,6.4,13K,Horror
102 Dalmatians,85000000,66941559,2000,172.2,1h 40m,G,4.8,38K,Adventure
Selma,20000000,66776576,2015,237,,,,,
Hanna,30000000,65343694,2011,224.9,,R,7.6,39K,Action
Jersey Boys,40000000,65282732,2014,236.7,2h 14m,R,6.8,35K,Biography
Something Borrowed,35000000,65084116,2011,224.9,1h 52m,PG-13,5.8,63K,Comedy
Haeundae,16000000,64733391,2010,218.1,2h,R,5.6,4.7K,Action
Happy Death Day 2U,9000000,64686515,2019,255.7,1h 40m,PG-13,6.2,76K,Comedy
August Rush,25000000,64605762,2007,207.3,1h 54m,PG,7.4,108K,Drama
The Imaginarium of Doctor Parnassus,30000000,64352607,2009,214.5,2h 3m,PG-13,6.8,150K,Adventure
The Remains of the Day,15000000,63954968,1993,144.5,3h 12m,PG-13,8.1,89K,Action
The Longest Ride,34000000,63802928,2015,237,2h 3m,PG-13,7,84K,Comedy
God’s Not Dead,1150000,63777092,2014,236.7,1h 53m,PG,4.6,43K,Drama
Beavis and Butt-Head Do America,12000000,63118386,1996,156.9,1h 21m,PG-13,6.8,58K,Animation
How to Be a Latin Lover,10000000,62556228,2017,245.1,1h 55m,PG-13,6,17K,Comedy
A Walk Among the Tombstones,28000000,62108587,2014,236.7,1h 54m,R,6.5,123K,Action
The Tree of Life,35000000,61721826,2011,224.9,2h 19m,PG-13,6.8,178K,Drama
Bombshell,32000000,61404394,2019,255.7,1h 49m,R,6.8,116K,Biography
My Little Pony: The Movie,6500000,61294644,2017,245.1,1h 39m,PG,6,7.2K,Animation
Dallas Buyers Club,5000000,60611845,2013,233,1h 57m,R,7.9,490K,Biography
Secretariat,35000000,60376247,2010,218.1,2h 3m,PG,7.2,29K,Biography
The Perfect Guy,18000000,60278166,2015,237,1h 40m,PG-13,5.6,11K,Drama
Spartacus,12000000,60000000,1960,29.6,,R,8.5,243K,Action
Aliens in the Attic,45000000,59551283,2009,214.5,1h 26m,PG,5.4,23K,Adventure
Baekdusan,17700000,59505509,2019,255.7,2h 10m,PG-13,6.2,5K,Action
That’s My Boy,57500000,58879681,2012,229.6,1h 56m,R,5.5,102K,Comedy
Doom,70000000,58757178,2005,195.3,,R,7.8,53K,Action
Woman in Gold,11000000,58586407,2015,237,1h 49m,PG-13,7.3,60K,Biography
Zathura,65000000,58545540,2005,195.3,1h 41m,PG,6.2,106K,Action
Nine Lives,30000000,57814445,2016,240,,G,7.1,4.1K,Comedy
End of Watch,15000000,57586606,2012,229.6,1h 49m,R,7.6,251K,Action
Derailed,22000000,57520063,2005,195.3,1h 48m,R,6.6,74K,Crime
The Godfather: Part II,13000000,57386230,1974,49.3,3h 22m,R,9,1.3M,Crime
Crossroads,12000000,57000000,2002,179.9,1h 33m,PG-13,3.6,40K,Comedy
The Man in the Iron Mask,35000000,56968169,1998,163,2h 12m,PG-13,6.5,169K,Action
The Big Sick,5000000,56868677,2017,245.1,2h,R,7.5,137K,Comedy
Silent Hill: Revelation 3D,20000000,55975672,2012,229.6,1h 35m,R,4.9,64K,Horror
Why Did I Get Married?,15000000,55934178,2007,207.3,1h 53m,PG-13,5.9,13K,Comedy
The Animal,22000000,55762229,2001,177.1,,,,,
"Definitely, Maybe",7000000,55617866,2008,215.3,1h 52m,PG-13,7.1,167K,Comedy
Open Water,500000,55518641,2004,188.9,1h 19m,R,5.8,54K,Adventure
Lucky Number Slevin,27000000,55495466,2006,201.6,1h 50m,R,7.7,315K,Crime
Zoolander 2,50000000,55348693,2016,240,1h 41m,PG-13,4.7,70K,Action
Waking Ned Devine,3000000,55193251,1998,163,1h 31m,PG,7.3,27K,Comedy
Dawn of the Dead,1500000,55000000,1979,72.6,1h 41m,R,7.3,258K,Action
Driven,72000000,54616869,2001,177.1,1h 56m,PG-13,4.6,42K,Action
The Three Stooges,30000000,54052249,2012,229.6,,,,,
Edward Scissorhands,20000000,53980220,1990,130.7,1h 45m,PG-13,7.9,494K,Drama
Aeon Flux,55000000,53913573,2005,195.3,1h 33m,PG-13,5.4,129K,Action
Long Shot,40000000,53624424,2019,255.7,2h 5m,R,6.8,112K,Comedy
Message in a Bottle,30000000,52880016,1999,166.6,2h 6m,PG-13,6.2,39K,Drama
The Roommate,16000000,52545707,2011,224.9,1h 31m,PG-13,4.8,39K,Horror
Le Petit Nicolas,30000000,52339566,2010,218.1,,,,,Animation
Slender Man,10000000,51945949,2018,251.1,1h 33m,PG-13,3.2,35K,Horror
Homefront,22000000,51695362,2013,233,1h 40m,R,6.5,122K,Action
Teen Titans Go! To The Movies,10000000,51620593,2018,251.1,1h 24m,PG,6.7,20K,Animation
Fargo,7000000,51203925,1996,156.9,,R,8.9,374K,Crime
All the President’s Men,8500000,51048435,1976,56.9,2h 18m,PG,7.9,117K,Drama
Enough,38000000,50970660,2002,179.9,1h 55m,PG-13,5.7,44K,Crime
Team America: World Police,20000000,50948811,2004,188.9,1h 38m,R,7.2,171K,Action
A Bridge Too Far,26000000,50800000,1977,60.6,2h 55m,PG,7.4,57K,Drama
The Mighty Ducks,10000000,50752337,1992,140.3,1h 44m,PG,6.5,67K,Comedy
Elizabethtown,54000000,50719373,2005,195.3,2h 3m,PG-13,6.3,71K,Comedy
Meet Dave,60000000,50648806,2008,215.3,1h 30m,PG,5.1,42K,Adventure
The Deer Hunter,15000000,50065119,1978,65.2,3h 3m,R,8.1,341K,Drama
Major League,11000000,49793054,1989,124,1h 47m,R,7.2,71K,Comedy
Man on a Ledge,42000000,49621440,2012,229.6,1h 42m,PG-13,6.6,154K,Action
A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,1988,118.3,1h 33m,R,5.6,57K,Horror
Scott Pilgrim vs. The World,85000000,49286548,2010,218.1,1h 52m,PG-13,7.5,428K,Action
The Finest Hours,70000000,49252761,2016,240,1h 57m,PG-13,6.7,68K,Action
Breakthrough,14000000,49231674,2019,255.7,1h 56m,PG,6.2,10K,Biography
Death at a Funeral,21000000,48977233,2010,218.1,1h 30m,R,7.3,117K,Comedy
Fat Albert,45000000,48563556,2004,188.9,1h 33m,PG,4.3,12K,Comedy
"Girl, Interrupted",24000000,48308749,1999,166.6,2h 7m,R,7.3,191K,Biography
Her,23000000,48043998,2014,236.7,,,,,
High Fidelity,20000000,47881663,2000,172.2,1h 53m,R,7.4,182K,Comedy
Trouble with the Curve,60000000,47818913,2012,229.6,1h 51m,PG-13,6.8,65K,Drama
Man on the Moon,52000000,47407635,1999,166.6,1h 58m,R,7.4,132K,Biography
The Wedding Date,15000000,47175038,2005,195.3,1h 30m,PG-13,6.1,53K,Comedy
Deck the Halls,51000000,46815807,2006,201.6,1h 33m,PG,5,30K,Comedy
The Debt,20000000,46604054,2011,224.9,1h 53m,R,6.8,70K,Drama
A Monster Calls,43000000,46414530,2016,240,1h 48m,PG-13,7.4,89K,Adventure
Risen,20000000,46244066,2016,240,1h 47m,PG-13,6.3,29K,Action
"McFarland, USA",17000000,45707924,2015,237,2h 9m,PG,7.4,40K,Biography
Early Man,50000000,45285890,2018,251.1,1h 29m,PG,6.1,22K,Animation
Flatliners,20000000,45173738,2017,245.1,1h 49m,PG-13,5.2,48K,Drama
The Duchess,27000000,45160110,2008,215.3,1h 50m,PG-13,6.9,84K,Biography
Lakeview Terrace,20000000,44821299,2008,215.3,1h 50m,PG-13,6.2,53K,Crime
A Nightmare On Elm Street 3: Dream Warriors,5000000,44793222,1987,113.6,1h 36m,R,6.6,83K,Fantasy
One Missed Call,20000000,44513466,2008,215.3,1h 27m,PG-13,4,33K,Horror
The Jungle Book,27000000,44342956,1994,148.2,1h 46m,PG,7.4,279K,Adventure
Child’s Play,9000000,44196684,1988,118.3,1h 27m,R,6.6,105K,Horror
House at the End of the Street,6900000,44103982,2012,229.6,1h 41m,PG-13,5.5,78K,Drama
The Last Emperor,25000000,44005435,1987,113.6,2h 43m,PG-13,7.7,104K,Biography
Semi-Pro,55000000,43980363,2008,215.3,1h 31m,R,5.8,83K,Comedy
The Transporter,21000000,43928932,2002,179.9,1h 32m,PG-13,6.8,306K,Action
The DUFF,8500000,43528634,2015,237,1h 41m,PG-13,6.4,96K,Comedy
Annihilation,55000000,43070915,2018,251.1,1h 55m,R,6.8,329K,Adventure
Escape from Alcatraz,8000000,43000000,1979,72.6,1h 52m,PG,7.6,138K,Action
Almost Christmas,17000000,42493506,2016,240,1h 51m,PG-13,6.1,7.1K,Comedy
The Four Seasons,6500000,42488161,1981,90.9,1h 47m,PG,6.8,4.7K,Comedy
Legend,25000000,42425450,2015,237,2h 12m,R,6.9,185K,Biography
Resident Evil: Welcome to Raccoon City,25000000,41845516,2021,271,1h 47m,R,5.2,55K,Action
Pale Rider,6900000,41410568,1985,107.6,1h 55m,R,7.3,60K,Drama
Ricki and the Flash,18000000,41166033,2015,237,1h 41m,PG-13,6,24K,Comedy
Pee Wee's Big Adventure,7000000,40940662,1985,107.6,1h 31m,PG,7,54K,Adventure
Where the Heart Is,15000000,40862054,2000,172.2,2h,PG-13,6.7,35K,Comedy
Greenland,34000000,40629075,2020,258.8,1h 59m,PG-13,6.4,118K,Action
Fright Night,30000000,40520649,2011,224.9,1h 46m,R,7,73K,Fantasy
The Piano,7000000,40207064,1993,144.5,2h 1m,R,7.5,90K,Drama
I Still Know What You Did Last Summer,24000000,40020622,1998,163,1h 40m,R,4.7,75K,Horror
Blade Runner,28000000,39538663,1982,96.5,2h 44m,R,8,574K,Action
T-34,10000000,39526616,2018,251.1,2h 19m,PG-13,6.7,13K,Action
Whale Rider,4300000,39374600,2003,184,1h 41m,PG-13,7.5,43K,Drama
What's Love Got to Do With It,15000000,39100956,1993,144.5,,,,,Comedy
The Eagle,25000000,38993548,2011,224.9,1h 54m,PG-13,6.2,71K,Action
On Deadly Ground,50000000,38590458,1994,148.2,1h 41m,R,4.6,24K,Action
The Lazarus Effect,5000000,38359310,2015,237,1h 23m,PG-13,5.2,44K,Horror
The Missing,65000000,38253433,2003,184,,PG-13,8.2,27K,Crime
Quest for Camelot,40000000,38172500,1998,163,1h 26m,G,6.2,17K,Animation
The Running Man,30000000,38122000,1987,113.6,1h 41m,R,6.6,155K,Action
For Colored Girls,21000000,38017873,2010,218.1,2h 13m,R,6.2,7.9K,Drama
Suffragette,14000000,37888043,2014,236.7,1h 46m,PG-13,6.9,43K,Drama
Halloween: Resurrection,15000000,37659652,2002,179.9,1h 34m,R,3.9,46K,Horror
The Hills Have Eyes II,15000000,37466538,2007,207.3,1h 29m,R,5.1,65K,Horror
Unhinged,33000000,37339104,2020,258.8,1h 30m,R,6,70K,Action
Broken City,35000000,37114977,2013,233,1h 49m,R,6.1,81K,Action
Kiss of the Dragon,25000000,36833473,2001,177.1,1h 38m,R,6.6,64K,Action
Barfi,4600000,36751984,2012,229.6,2h 31m,Not Rated,8.1,83K,Comedy
Hotel Rwanda,17500000,36520451,2004,188.9,2h 1m,PG-13,8.1,357K,Biography
The Kids Are All Right,4000000,36275469,2010,218.1,1h 46m,R,7,131K,Comedy
Mad Max Beyond Thunderdome,10000000,36230219,1985,107.6,1h 47m,PG-13,6.2,138K,Action
One for the Money,42000000,36197221,2012,229.6,1h 31m,PG-13,5.3,43K,Action
Arthur and the War of Two Worlds,45500000,36180824,2015,237,1h 41m,PG,5.4,9.4K,Animation
The Greatest Show on Earth,4000000,36000000,1952,26.6,2h 32m,PG,6.6,15K,Drama
Miss Potter,30000000,35891257,2006,201.6,1h 28m,PG,7,30K,Biography
Taps,14000000,35856053,1981,90.9,2h 6m,PG,6.7,19K,Drama
Father's Day,85000000,35681080,1997,160.5,1h 39m,Not Rated,5.8,3.1K,Action
Eye in the Sky,13000000,35402802,2016,240,1h 42m,R,7.3,87K,Action
The Skulls,15000000,35007180,2000,172.2,1h 46m,PG-13,5.6,33K,Action
The Life Aquatic with Steve Zissou,50000000,34806726,2004,188.9,1h 59m,R,7.2,199K,Action
Endless Love,20000000,34718173,2014,236.7,1h 56m,R,4.9,8.8K,Drama
Jack Frost,50000000,34645374,1998,163,1h 41m,PG,5.4,38K,Comedy
The Best Man,9000000,34572780,1999,166.6,2h,R,6.7,11K,Comedy
The Usual Suspects,6000000,34449356,1995,152.4,1h 46m,R,8.5,1.1M,Crime
Viy,26000000,34246770,2015,237,2h 10m,Not Rated,5.2,6K,Adventure
Sling Blade,4833610,34175000,1996,156.9,2h 15m,R,8,95K,Drama
Metegol,22000000,34061097,2013,233,1h 25m,PG,6.4,9.8K,Animation
Malignant,40000000,33974421,2021,271,1h 51m,R,6.2,92K,Crime
Lockout,20000000,33943049,2012,229.6,1h 35m,PG-13,6,99K,Action
Nick and Norah's Infinite Playlist,10000000,33886017,2008,215.3,1h 30m,PG-13,6.6,93K,Comedy
Dungeons and Dragons,35000000,33771965,2000,172.2,,,,,Action
Self/Less,26000000,33667319,2015,237,1h 57m,PG-13,6.5,100K,Action
Mystery Men,68000000,33462011,1999,166.6,2h 1m,PG-13,6.1,68K,Action
2016: Obama’s America,2500000,33349941,2012,229.6,1h 27m,PG,4.8,11K,Documentary
Sleepless,30000000,33296659,2017,245.1,1h 45m,PG,6.8,178K,Comedy
The Good Liar,10000000,33209936,2019,255.7,1h 49m,R,6.7,43K,Crime
The Perks of Being a Wallflower,13000000,33069303,2012,229.6,1h 43m,PG-13,7.9,514K,Drama
Fighting,25000000,32831707,2009,214.5,1h 48m,PG-13,7.1,82K,Biography
Katy Perry: Part of Me,12000000,32700439,2012,229.6,1h 33m,PG,5.9,14K,Documentary
Nobody’s Fool,19000000,32589493,2018,251.1,1h 50m,R,7.3,21K,Comedy
The Lost Boys,8500000,32393651,1987,113.6,1h 37m,R,7.2,146K,Comedy
The Seeker: The Dark is Rising,45000000,31852619,2007,207.3,1h 39m,PG,4.7,16K,Adventure
The Muppet Christmas Carol,12000000,31724550,1992,140.3,1h 25m,G,7.7,61K,Comedy
Premium Rush,35000000,31393201,2012,229.6,1h 31m,PG-13,6.5,115K,Action
An Ideal Husband,10700000,31341183,1999,166.6,1h 37m,PG-13,6.8,16K,Comedy
Lost Souls,28000000,31320293,2000,172.2,1h 37m,R,4.8,11K,Drama
Spring Breakers,5000000,31149251,2013,233,1h 34m,R,5.3,143K,Crime
Love in the Time of Cholera,45000000,31077418,2007,207.3,2h 19m,R,6.4,23K,Drama
The Water Diviner,22500000,31054727,2014,236.7,1h 51m,R,7,76K,Drama
The Princess Bride,15000000,31046220,1987,113.6,1h 38m,PG,8,429K,Adventure
Happy Family,30000000,30809023,2017,245.1,1h 33m,PG,4.8,5K,Animation
The Unholy,10000000,30792024,2021,271,1h 39m,PG-13,5.1,22K,Drama
An American Haunting,14000000,30443277,2006,201.6,1h 23m,PG-13,5,26K,Drama
The Great Debaters,15000000,30261293,2007,207.3,2h 6m,PG-13,7.5,60K,Biography
When the Game Stands Tall,15000000,30138912,2014,236.7,1h 55m,PG,6.6,16K,Biography
New in Town,8000000,29937909,2009,214.5,1h 37m,PG,5.6,24K,Comedy
Mandela: Long Walk to Freedom,35000000,29890402,2013,233,2h 21m,PG-13,7.1,28K,Biography
Far from the Madding Crowd,15495600,29729450,2015,237,1h 59m,PG-13,7.1,50K,Drama
The Pledge,45000000,29406132,2001,177.1,,R,6.8,60K,
